,A2A,AMPLIFON,AVIO,AZIMUT,BCA_MEDIOLANUM,BCA_MPS,BCO_BPM,BPER_BANCA,BRUNELLO CUC,BUZZI,CAMPARI,DIASORIN,ENEL,ENI,FERRARI,FINCANTIERI,FINECOBANK,GENERALI,HERA,INTESA SP,INWIT,ITALGAS,LEONARDO,MEDIOBANCA,MONCLER,POSTE IT,PRYSMIAN,RECORDATI,SAIPEM,SNAM,STELLANTIS,STMICROELECTRONICS,TELECOM IT,TENARIS,TERNA,UNICREDIT,UNIPOL
CAMPARI,0.3323561915933925,0.3610001736255678,0.09401425733771919,0.3421102581228283,0.2733670370946113,0.010509746476188166,0.22203562313188088,0.20994694194226365,0.3029553060885558,0.2372232499400317,1.0,0.26474329689929726,0.360384866100274,0.2264553214627324,0.3626855674779562,0.12642796451401425,0.30062797306032174,0.3107545416028284,0.3170265914869254,0.3186053528506307,0.2649137031227772,0.32512059407183597,0.15838372177665042,0.2899333132522276,0.4348390930506675,0.35123748595559856,0.3173925812173589,0.3878695044554934,0.10488239228963346,0.37254091004060164,0.2781046907921044,0.29539599915100023,0.224287200347341,0.19221200230639818,0.3576353647558271,0.2598941611542493,0.2908760600756992
DIASORIN,0.20487266093316575,0.37967475713174975,0.07524759753228928,0.1858139936153666,0.11491318211110302,0.010058941266350182,0.024537531438799238,0.005487536730126698,0.21401073705642154,0.11998654820899786,0.26474329689929726,1.0,0.20901488612337635,0.052801666172353885,0.24603193235017537,0.10925569523565958,0.21242961459710827,0.10406881054404551,0.21101392804350208,0.07671460808149631,0.23484421193353675,0.2237688349919636,0.005318209479382016,0.08001696404374754,0.22133636864012468,0.19047754686258073,0.2023837085809189,0.37974306974532634,0.019790722215591583,0.22146610598773347,0.1448663803266571,0.22920804222484878,0.05398153951904443,0.03571394564949434,0.21854308686291848,0.006930472590097107,0.101957661911573
ENEL,0.6625885283651063,0.3348529635428646,0.17226901250962998,0.4946781928701418,0.46910966042728874,0.01887684742392425,0.41077203593256784,0.40438332531567767,0.2416204848598013,0.38918566701257207,0.360384866100274,0.20901488612337635,1.0,0.4855410189813003,0.372198245304926,0.29020791790581085,0.42888285198623394,0.5577706821552941,0.6691934573792698,0.5304706584079125,0.40678387512341146,0.6266048125962089,0.3216740473289873,0.48403139026591974,0.4031473804219987,0.6011527305399342,0.39774661237189635,0.4472797397258736,0.20500205110701758,0.6842587241108163,0.37371674178355185,0.34271303628990835,0.37942204908905736,0.30697650520504816,0.6480107285603199,0.4333392992883008,0.46444709661908995
ENI,0.45859137849271364,0.17715473926074854,0.17039972912407805,0.4789521512302734,0.4612911944913895,-0.00842804216189412,0.44942886773742424,0.4488474032254199,0.23858042749165115,0.4147296208745052,0.2264553214627324,0.052801666172353885,0.4855410189813003,1.0,0.28678731612013186,0.3358995879896701,0.3932477283350625,0.5910622129128138,0.3938934286456972,0.5635761019527122,0.201829622133073,0.3961040351478129,0.45372663063559987,0.5368605918103715,0.35748389976654,0.5299856980524782,0.35714337121785594,0.2748545055132013,0.38583676628699504,0.4465986667879497,0.43241208171035406,0.34316055913109433,0.39550183943379363,0.6932167357133799,0.3505758552873766,0.4915987147687025,0.46855675119250345
FERRARI,0.3261747897509336,0.36257263910933485,0.16722877253199253,0.4239099445314452,0.3763045513393582,-0.009812957302364294,0.30521496002415377,0.2758088058884884,0.37920527186620606,0.351124691246869,0.3626855674779562,0.24603193235017537,0.372198245304926,0.28678731612013186,1.0,0.21087768976453694,0.39677290689357375,0.3755693461138315,0.3057847201531517,0.40313914044711663,0.30035654997731526,0.30432291164508773,0.2273733195584663,0.3598622143403816,0.47990618745315844,0.3711529004853065,0.4185849325210764,0.4242965485972791,0.14411867423734623,0.3105923782233355,0.4602342745267116,0.4134077763423674,0.2705844552545305,0.24335542560725285,0.29535200585330307,0.31807095146526715,0.33247118693551825
FINCANTIERI,0.27661826240842674,0.14251674559393424,0.2766216014527214,0.35299011577079287,0.34069420640663156,-0.016251819217695616,0.35466524663701005,0.38496238791046544,0.16554360867836404,0.2754791407264695,0.12642796451401425,0.10925569523565958,0.29020791790581085,0.3358995879896701,0.21087768976453694,1.0,0.3290493654005833,0.37182297047646956,0.24136768261701694,0.3841923725835166,0.13642472401070693,0.22123007524433647,0.4327255585981548,0.3522409231160067,0.24424637157061174,0.35590995906210987,0.26891032549795374,0.18023177211851785,0.20506656389448613,0.20911295325408458,0.3055851392760523,0.25545911019182327,0.2673194023819558,0.3054402621926918,0.1792758040900905,0.34628687035472777,0.3507353717856587
FINECOBANK,0.38988272948586605,0.25420466953868665,0.2078615488345033,0.632276728680401,0.6554734004133298,0.021122412207620338,0.5866032872460907,0.5474410101937831,0.3345499058275274,0.48263702816613857,0.30062797306032174,0.21242961459710827,0.42888285198623394,0.3932477283350625,0.39677290689357375,0.3290493654005833,1.0,0.5518995368737095,0.35726653163079736,0.6425689782657313,0.24210428736048034,0.3346392034280294,0.3419245923844054,0.5813899796440917,0.4315351677299254,0.5835178356611823,0.46904516800988777,0.3760564369459543,0.2251945371635818,0.3347235772339522,0.43522284473599665,0.4111702927316205,0.34936940263495325,0.35944457612915265,0.27918779914070263,0.5840819711182401,0.5302904448972972
GENERALI,0.549807224354806,0.2498272455846496,0.2249542067524808,0.6418915762659929,0.6421435918298952,0.004368264107452598,0.5591270812556227,0.5785920402386139,0.310010500160615,0.5114450159135479,0.3107545416028284,0.10406881054404551,0.5577706821552941,0.5910622129128138,0.3755693461138315,0.37182297047646956,0.5518995368737095,1.0,0.45714775539555097,0.7154842330107772,0.30601041199969226,0.4807204411188217,0.47792194996820836,0.6837667863657716,0.43069549341190116,0.6701564410662691,0.42747581913720156,0.34528327771129275,0.27650989078710303,0.46594032975007843,0.4841079448431381,0.40603285948078177,0.3983944446912999,0.4575814916590453,0.4222243800616576,0.6198731688173209,0.6950522421807169
HERA,0.7229079530645214,0.33006264942181246,0.20030546386940595,0.42053524111289486,0.42554679859623934,0.006337725611788113,0.32600982859384114,0.33492653630653363,0.23226048770699453,0.30110309072812025,0.3170265914869254,0.21101392804350208,0.6691934573792698,0.3938934286456972,0.3057847201531517,0.24136768261701694,0.35726653163079736,0.45714775539555097,1.0,0.40399287447355375,0.4223146312057916,0.6656393726393061,0.30756323200102426,0.3958969410047096,0.34814300208033183,0.5306296466467559,0.31214542674215057,0.4639592621800071,0.17444928939572552,0.6670210783968101,0.308926585761954,0.2534319044390952,0.3232726191641444,0.2558770384974546,0.6533631954506505,0.3322864330144646,0.3864808469816739
INTESA SP,0.4778220003781493,0.2455803192436285,0.21194182114699253,0.6705675827019155,0.7065121336558527,0.020673618558847067,0.7372227902528695,0.7192819551837266,0.3396958125144753,0.5592874188379162,0.3186053528506307,0.07671460808149631,0.5304706584079125,0.5635761019527122,0.40313914044711663,0.3841923725835166,0.6425689782657313,0.7154842330107772,0.40399287447355375,1.0,0.2548054825745495,0.3830230760070211,0.42719113429683553,0.7512739821936052,0.4514483431789831,0.6817540037418439,0.4914098416224364,0.32259809080353485,0.2881932825014107,0.3798650833171198,0.5560412014104542,0.4422842623494092,0.43641120490314855,0.448593911959735,0.326980247289087,0.8186811454225388,0.6565036701740843
